Fiyat,Lokasyon,Link,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt / Net M2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Krediye Uygunlu...,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Cephe,Takas,Kira Getirisi,Aidat,Yetkili Ofis,Site İçerisinde,Krediye Uygunluk,Depozito,Vs30
7.700.000 TL,İstanbul - Maltepe - Çınar Mah.,https://www.hepsiemlak.com/istanbul-maltepe-cinar-satilik/daire/76795-1577,76795-1577,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,80 m2  / 70 m2,4 Katlı,1. Kat,1 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Kuzey, Güney, Doğu, Batı",Hayır,,,,,Uygun,,600
6.000.000 TL,İstanbul - Küçükçekmece - Yeşilova Mah.,https://www.hepsiemlak.com/istanbul-kucukcekmece-yesilova-satilik/daire/152630-67,152630-67,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,90 m2  / 80 m2,3 Katlı,2. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu",Hayır,35.000 TL,300 TL,Evet,,Uygun,,300
18.950.000 TL,İstanbul - Kadıköy - Suadiye Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/145390-726,145390-726,21-10-2025,Satılık,Daire,Daire,3 + 1,2.0,125 m2  / 95 m2,10 Katlı,3. Kat,Sıfır Bina,Yerden Isıtma,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Kuzey, Güney, Doğu, Batı",Hayır,,,Evet,,Uygun,,700
14.000.000 TL,İstanbul - Kadıköy - Fenerbahçe Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-satilik/daire/2137-28172,2137-28172,20-10-2025,Satılık,Daire,,3 + 1,1.0,140 m2  / 110 m2,10 Katlı,1. Kat,25 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Kuzey, Güney, Doğu, Batı",Hayır,,2.500 TL,Evet,,Uygun,,750
3.780.000 TL,İstanbul - Fatih - Molla Gürani Mah.,https://www.hepsiemlak.com/istanbul-fatih-molla-gurani-satilik/daire/136375-913,136375-913,21-10-2025,Satılık,Daire,,2 + 1,1.0,75 m2  / 70 m2,4 Katlı,Yüksek Giriş,31 Yaşında,Kombi,,Uygun,Yabancıdan,Eşyalı Değil,,,Boş,Güney,Hayır,,200 TL,,,Uygun,,250
9.850.000 TL,İstanbul - Maltepe - Altıntepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-satilik/daire/10432-2530,10432-2530,21-10-2025,Satılık,Daire,,3 + 1,1.0,130 m2  / 120 m2,4 Katlı,2. Kat,26 Yaşında,Kombi,,Uygun,Kat İrtifakı,Eşyalı Değil,,,Boş,"Güney, Doğu, Batı",Hayır,,,,,Uygun,,700
6.250.000 TL,İstanbul - Sultanbeyli - Ahmet Yesevi Mah.,https://www.hepsiemlak.com/istanbul-sultanbeyli-ahmet-yesevi-satilik/daire/155700-559,155700-559,21-10-2025,Satılık,Daire,,4 + 1,2.0,150 m2  / 135 m2,4 Katlı,3. Kat,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,"Kuzey, Güney, Doğu, Batı",Evet,,200 TL,,,Uygun,,400
13.500.000 TL,İstanbul - Tuzla - Cami Mah.,https://www.hepsiemlak.com/istanbul-tuzla-cami-satilik/daire/159184-43,159184-43,21-10-2025,Satılık,Daire,,3 + 2,3.0,142 m2  / 122 m2,8 Katlı,8. Kat,1 Yaşında,Yerden Isıtma,,Uygun değil,Kat İrtifakı,Eşyalı Değil,,,Boş,"Güney, Doğu",Evet,,,,Evet,Uygun değil,,650
5.500.000 TL,İstanbul - Pendik - Kurtköy Mah.,https://www.hepsiemlak.com/istanbul-pendik-kurtkoy-satilik/daire/163388-2,163388-2,21-10-2025,Satılık,Daire,,2 + 1,1.0,85 m2  / 73 m2,7 Katlı,6. Kat,5 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,Güney,Hayır,,,,,Uygun,,700
5.750.000 TL,İstanbul - Üsküdar - Cumhuriyet Mah.,https://www.hepsiemlak.com/istanbul-uskudar-cumhuriyet-satilik/daire/93181-5936,93181-5936,21-10-2025,Satılık,Daire,Bahçe Katı,2 + 1,1.0,90 m2  / 65 m2,4 Katlı,Bahçe Katı,1 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Kuzey, Güney",Evet,35.000 TL,,Evet,,Uygun,,750
3.750.000 TL,İstanbul - Beyoğlu - Yenişehir Mah.,https://www.hepsiemlak.com/istanbul-beyoglu-yenisehir-satilik/bina/139911-384,139911-384,21-10-2025,Satılık,Bina,Müstakil Ev,2 + 1,1.0,110 m2  / 100 m2,3 Katlı,,29 Yaşında,Kombi,Doğalgaz,Uygun,Müstakil Tapulu,Eşyalı Değil,Kagir,İkinci El,Boş,,Hayır,40.000 TL,,Evet,,Uygun,,850
20.950.000 TL,İstanbul - Kadıköy - Suadiye Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/119859-377,119859-377,20-10-2025,Satılık,Daire,,3 + 1,2.0,140 m2  / 100 m2,11 Katlı,10. Kat,Sıfır Bina,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,Güney,Hayır,,,,,Uygun,,700
17.000.000 TL,İstanbul - Şişli - Merkez Mah.,https://www.hepsiemlak.com/istanbul-sisli-merkez-satilik/daire/0-45459842,0-45459842,21-10-2025,Satılık,Daire,Daire,3 + 1,2.0,215 m2  / 170 m2,5 Katlı,Ara Kat,31 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Doğu, Batı",,,,,,Uygun,,800
7.100.000 TL,İstanbul - Gaziosmanpaşa - Karadeniz Mah.,https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karadeniz-satilik/daire/141190-166,141190-166,20-10-2025,Satılık,Daire,,1 + 1,1.0,92 m2  / 62 m2,24 Katlı,21 ve üzeri,Sıfır Bina,Merkezi (Pay Öl...,,Uygun,Kat Mülkiyeti,Eşyalı,,,Kiracılı,"Kuzey, Güney, Doğu, Batı",Hayır,,,,Via Port Venezia Konutları,Uygun,,700
17.500.000 TL,İstanbul - Üsküdar - Ünalan Mah.,https://www.hepsiemlak.com/istanbul-uskudar-unalan-satilik/daire/7350-10457,7350-10457,21-10-2025,Satılık,Daire,,3 + 1,2.0,160 m2  / 120 m2,14 Katlı,8. Kat,Sıfır Bina,Merkezi (Pay Öl...,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Kiracılı,"Güney, Batı",Hayır,,,,New City 2,Uygun,,750
9.290.000 TL,İstanbul - Maltepe - Altıntepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-satilik/daire/6060-43732,6060-43732,21-10-2025,Satılık,Daire,Dubleks,2 + 1,1.0,90 m2  / 75 m2,4 Katlı,4. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,Güney,Hayır,,1.000 TL,,,Uygun,,700
6.250.000 TL,İstanbul - Kağıthane - Çağlayan Mah.,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/residence/24435-4092,24435-4092,21-10-2025,Satılık,Residence,,2 + 1,2.0,90 m2  / 70 m2,13 Katlı,Yüksek Giriş,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı,,,Boş,,Hayır,,,,Belle Vue Residence,Uygun,,700
6.150.000 TL,İstanbul - Maltepe - İdealtepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/84612-471,84612-471,21-10-2025,Satılık,Daire,,1 + 1,1.0,75 m2  / 70 m2,4 Katlı,Bahçe Katı,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,,Hayır,,,,,Uygun,,700
26.000.000 TL,İstanbul - Bakırköy - Şenlikköy Mah.,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-satilik/daire/4753-17589,4753-17589,21-10-2025,Satılık,Daire,Daire,4 + 1,1.0,280 m2  / 240 m2,3 Katlı,Ara Kat,26 Yaşında,Kombi,Doğalgaz,Uygun değil,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,"Kuzey, Doğu, Batı",Hayır,,,Evet,,Uygun değil,,250
6.250.000 TL,İstanbul - Kağıthane - Çağlayan Mah.,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/residence/24435-4092,24435-4092,21-10-2025,Satılık,Residence,,2 + 1,2.0,90 m2  / 70 m2,13 Katlı,Yüksek Giriş,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı,,,Boş,,Hayır,,,,Belle Vue Residence,Uygun,,700
6.150.000 TL,İstanbul - Maltepe - İdealtepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/84612-471,84612-471,21-10-2025,Satılık,Daire,,1 + 1,1.0,75 m2  / 70 m2,4 Katlı,Bahçe Katı,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,,Hayır,,,,,Uygun,,700
10.250.000 TL,İstanbul - Avcılar - Mustafa Kemal Paşa Mah.,https://www.hepsiemlak.com/istanbul-avcilar-mustafa-kemal-pasa-satilik/daire/71777-1637,71777-1637,21-10-2025,Satılık,Daire,Dubleks,4 + 2,,200 m2  / 179 m2,4 Katlı,3. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu",Hayır,,,Evet,,Uygun,,200
