Price,Total_Room,Bathroom_Count,Net_M2,Number_of_Floors,Floor,Furnished_Status,Is_New_Building,Is_Occupied,Is_Swap_Available,In_a_Complex,Loan_Eligibility,KonutTipi_Bina,KonutTipi_Daire,KonutTipi_Kooperatif,KonutTipi_Mustakil,KonutTipi_Yali,Age_0,Age_1-5,Age_6-10,Age_11-20,Age_21-30,Age_31-40,Age_41-50,Age_51-70,Heating_Diger-Belirsiz,Heating_Kombi-Bireysel Doğalgaz,Heating_Merkezi Sistem,Heating_Soba-Geleneksel,Heating_Yerden Isıtma-Modern,Tapu_Diger/Riskli,Tapu_Hisseli Mülkiyet,Tapu_Kat İrtifakı,Tapu_Tam Mülkiyet,Building_Type_Encoded,Ground_Risk,District,Neighborhood,District_Encoded,Neighborhood_Encoded,Price_Per_Sqrft
3750000,3,1.0,58,5,1.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.3157894736842105,Şişli,Şişli_Mecidiyeköy Mah.,11551763.885416666,7811800.0,64655.1724137931
7500000,4,1.0,120,3,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.5789473684210527,Sarıyer,Sarıyer_Ptt Evleri Mah.,34679912.125,11197426.898289371,62500.0
9750000,4,1.0,120,5,5.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.5789473684210527,Şile,Şile_Çavuş Mah.,18333980.0,15849954.545454545,81250.0
3975000,3,1.0,85,3,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.368421052631579,Kadıköy,Kadıköy_Eğitim Mah.,20895221.034755133,9224285.785714285,46764.705882352944
4750000,3,1.0,85,5,2.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.3157894736842105,Şişli,Şişli_Eskişehir Mah.,11545416.957597174,4559259.259259259,55882.35294117647
11750000,4,1.0,92,10,5.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.368421052631579,Kadıköy,Kadıköy_Feneryolu Mah.,20895221.034755133,19368750.0,127717.39130434782
4250000,2,1.0,28,5,5.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8947368421052632,Eyüpsultan,Eyüpsultan_Topçular Mah.,11640322.423312884,23000000.0,151785.7142857143
4750000,4,1.0,115,5,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0.9473684210526316,Bahçelievler,Bahçelievler_Siyavuşpaşa Mah.,7870796.988721805,5779293.1034482755,41304.34782608696
10500000,4,1.0,115,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.368421052631579,Üsküdar,Üsküdar_Küçüksu Mah.,14296958.90410959,18399000.0,91304.34782608696
7500000,2,1.0,80,5,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0.3157894736842105,Şişli,Şişli_Merkez Mah.,11545416.957597174,12014705.88235294,93750.0
16750000,4,1.0,85,13,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.42105263157894735,Kadıköy,Kadıköy_Erenköy Mah.,20895221.034755133,22763172.97826087,197058.82352941178
5000000,3,1.0,76,4,3.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.4736842105263158,Kağıthane,Kağıthane_Sultan Selim Mah.,6584713.20754717,5541923.076923077,65789.47368421052
3000000,3,1.0,85,6,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0.9473684210526316,Bahçelievler,Bahçelievler_Siyavuşpaşa Mah.,7928007.2690909095,5805816.666666667,35294.117647058825
4300000,6,2.0,185,5,5.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Esenyurt,Esenyurt_Piri Reis Mah.,3309769.773381295,3452833.3333333335,23243.243243243243
3000000,2,1.0,89,6,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.8421052631578947,Küçükçekmece,Küçükçekmece_Fatih Mah.,5731834.920634921,6995625.0,33707.86516853933
17000000,4,2.0,145,8,7.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.9473684210526316,Avcılar,Avcılar_Üniversite Mah.,5323508.582822086,6166666.666666667,117241.37931034483
6350000,5,2.0,160,4,4.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.368421052631579,Maltepe,Maltepe_Bağlarbaşı Mah.,8869866.838120105,8302307.615384615,39687.5
28750000,4,2.0,116,5,1.0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.368421052631579,Kadıköy,Kadıköy_Caddebostan Mah.,21104968.11904762,30542462.686567165,247844.8275862069
6500000,4,1.0,90,4,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0.368421052631579,Üsküdar,Üsküdar_Salacak Mah.,13960087.272727273,31907142.85714286,72222.22222222222
3850000,3,1.0,80,4,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5789473684210527,Arnavutköy,Arnavutköy_Anadolu Mah.,5569962.025316455,4205000.0,48125.0
2300000,3,1.0,80,25,11.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9473684210526316,Esenyurt,Esenyurt_Pınar Mah.,3309769.773381295,2868571.285714286,28750.0
3300000,3,1.0,75,8,2.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.33684210526315794,Kartal,Kartal_Esentepe Mah.,8650861.445783133,8542857.142857144,44000.0
7500000,3,1.0,65,6,4.0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.42105263157894735,Pendik,Pendik_Yenişehir Mah.,7962272.151898734,9711705.88235294,115384.61538461539
13000000,3,1.0,74,6,1.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Kadıköy,Kadıköy_Suadiye Mah.,21104968.11904762,24034700.0,175675.67567567568
4288000,3,1.0,80,3,1.0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8421052631578947,Sultanbeyli,Sultanbeyli_Mimar Sinan Mah.,5423944.444444444,5124894.736842105,53600.0
12750000,4,1.0,100,7,1.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.35789473684210527,Beyoğlu,Beyoğlu_Sütlüce Mah.,10649938.461538462,4475000.0,127500.0
4100000,4,2.0,120,5,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.9473684210526316,Bahçelievler,Bahçelievler_Siyavuşpaşa Mah.,7728063.429104477,5618532.258064516,34166.666666666664
4250000,2,1.0,50,4,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.42105263157894735,Kadıköy,Kadıköy_Osmanağa Mah.,21037016.950693373,8666666.666666666,85000.0
7750000,3,1.0,78,8,3.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Pendik,Pendik_Kurtköy Mah.,7962272.151898734,7655000.0,99358.97435897436
6950000,6,3.0,160,4,4.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.5263157894736843,Sancaktepe,Sancaktepe_Abdurrahmangazi Mah.,6100259.2370370375,9299916.666666666,43437.5
65000000,6,3.0,160,5,1.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.368421052631579,Kadıköy,Kadıköy_Caddebostan Mah.,20764465.8126935,28928384.615384616,406250.0
8000000,3,1.0,64,8,4.0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.42105263157894735,Pendik,Pendik_Kaynarca Mah.,7396266.272189349,5890000.0,125000.0
6900000,4,1.0,134,5,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.26315789473684215,Beyoğlu,Beyoğlu_Yenişehir Mah.,10649938.461538462,3855000.0,51492.53731343283
32950000,5,3.0,180,7,6.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3157894736842105,Kadıköy,Kadıköy_Göztepe Mah.,21169859.46177847,21775705.128205128,183055.55555555556
